userId,itemId
10928,811
10210,292
10845,234
10045,142
132,369
4983,392
3802,743
24,120
13275,81
7848,15
964,77
49,764
12007,271
1336,794
573,27
7728,234
5920,678
11691,169
13486,10
9826,207
11723,404
8406,307
9728,55
862,855
5673,566
1419,799
9472,764
7699,602
4492,29
7257,986
1580,560
5008,491
1860,993
12631,606
13445,714
6972,995
2874,193
8144,380
11837,487
3030,78
3202,303
14,569
9075,341
3747,747
9618,769
8277,993
758,855
8175,596
5096,34
2732,273
13582,218
6262,644
9157,53
8535,836
4275,842
5035,229
7023,683
9179,997
8125,190
1617,503
4862,683
10797,362
11290,292
8043,394
8937,57
14100,968
13,968
13750,503
4407,635
1782,62
12645,186
13606,752
11639,315
4216,766
7940,149
7984,705
224,29
2642,303
8573,120
549,790
10927,982
8764,875
3022,372
12346,55
753,963
3508,319
14189,286
12323,888
4942,409
6388,55
12122,995
2365,395
3804,807
12648,382
3800,503
10161,884
8869,354
1050,888
1838,52
2238,915
4284,55
1690,635
8762,794
4960,909
1755,748
2747,936
10641,836
8074,182
850,811
1816,286
8262,265
11197,26
1347,468
12608,638
2639,465
5584,575
243,705
1810,120
3773,752
2642,395
12608,705
9001,52
3731,234
4551,658
8723,120
13575,609
5393,743
7237,164
4194,234
4919,995
9774,813
2234,655
3001,968
7212,394
10319,693
13543,995
4487,18
14327,116
3795,311
7488,238
7079,645
7955,746
13045,447
4525,208
3480,55
1174,794
2473,743
2329,857
12462,995
6011,933
6435,183
5726,945
2687,382
5172,319
9442,743
1900,16
4446,369
10810,995
4329,211
8370,748
146,596
929,725
574,169
2396,822
10676,476
10777,811
12130,569
4726,34
10766,995
9951,794
12250,430
5922,699
11238,746
3791,198
7419,633
754,61
9628,995
4214,164
3797,307
4044,54
4025,278
1217,202
7585,291
1856,686
9378,431
2867,157
9030,152
8728,674
11111,746
11780,85
3390,603
10300,234
7181,606
1967,210
10947,234
9856,992
354,645
10858,193
3470,766
8551,707
10186,192
9088,945
7953,257
10946,811
1446,75
378,995
2478,128
7955,905
10846,85
1176,390
1571,740
1829,594
8693,836
4230,395
464,296
3783,145
10437,303
13089,234
13433,572
12907,635
2044,488
9210,28
7418,683
10757,690
4531,720
654,28
1638,441
6087,759
13602,476
4216,118
3323,503
4697,55
1860,888
3375,193
1066,870
8655,26
1098,183
7300,61
1214,561
7070,555
4143,972
10005,746
11135,596
6466,319
5583,766
9082,554
12169,766
1041,991
5608,596
10358,743
2132,785
6219,247
5734,716
2133,562
10271,618
13542,169
12712,126
2999,993
7511,395
11078,291
12168,126
3763,395
12512,204
8502,104
10636,0
10496,692
7458,728
10217,943
6851,319
10928,897
11466,235
3274,879
10863,382
10601,85
3864,245
43,591
12007,819
6360,394
6094,857
9354,394
7805,743
4362,121
8541,317
8669,997
2010,126
14210,322
10187,811
2740,794
3258,186
5064,807
4532,491
2105,324
8948,683
1594,543
7545,394
4175,995
13631,491
5480,635
9727,884
13335,794
3580,573
6564,381
9958,943
9920,572
12673,263
8182,920
2739,219
9118,784
524,213
10611,916
9463,836
5707,53
2830,785
6623,796
7477,39
8960,295
8270,272
10480,291
11546,126
2277,876
7401,319
11844,55
10390,325
7277,312
2478,263
3288,169
7808,234
7533,943
5453,3
11532,499
7333,152
606,55
7617,319
3428,500
7143,120
2776,751
3318,599
7114,178
11638,728
13149,794
601,218
1297,208
3728,298
10691,126
42,683
1962,995
13205,319
900,884
1712,49
9799,995
13822,810
12027,434
5920,562
1770,788
6955,0
8644,234
12226,170
4573,0
13098,825
11670,57
3249,894
11194,488
2117,705
739,126
11851,105
5000,510
9663,476
3299,195
10747,120
7018,172
14131,897
3999,322
2352,169
3672,179
7141,481
9147,490
684,169
2350,10
7993,606
12598,107
1329,55
3114,43
3043,178
2478,701
12673,183
10410,274
9019,811
3583,395
6259,10
11426,28
4615,814
94,234
1181,905
8869,896
5334,111
9082,540
4049,210
5805,234
58,395
11057,606
8555,693
3258,813
14359,303
25,406
2706,303
4100,963
1781,329
7985,491
13795,794
1896,794
3138,813
3655,104
3785,785
12761,319
10910,28
7477,562
13486,745
7907,55
2604,897
4966,34
10913,965
11168,743
12042,855
1910,813
110,942
13971,120
6485,394
4008,546
3066,0
11665,352
3290,395
8553,461
9419,291
11145,462
565,524
14337,632
5272,136
2542,128
7215,745
3704,785
6086,888
7017,743
6782,118
8869,257
862,204
811,998
961,53
1812,687
3577,743
3616,795
2243,933
5494,172
8256,878
173,49
6509,3
3159,785
5177,943
2038,251
3185,186
6765,790
8994,3
4708,684
13733,982
3072,126
7901,169
1762,164
13907,114
3067,790
10421,526
9779,607
948,358
2234,770
1793,394
14083,357
5969,491
8234,766
224,603
14204,440
6994,382
554,628
4717,884
10353,699
305,118
2419,743
1743,126
1916,217
10755,476
2017,794
3830,938
11371,405
2567,229
825,855
4299,126
2052,796
1703,766
3856,969
11975,968
6653,126
2788,945
1275,480
11060,934
13831,766
9416,394
569,243
774,794
1943,491
5575,811
14163,897
321,563
466,167
13622,63
7202,661
1586,723
7119,858
2639,382
5566,709
6825,575
9882,640
665,414
7257,849
7237,34
12023,332
4262,794
4126,990
10221,381
5144,606
553,743
10893,98
14195,341
12588,743
7960,743
9316,382
9788,63
13185,982
8353,772
11425,743
867,394
4847,68
12099,0
10543,696
2074,11
13099,55
14107,28
4361,126
13392,855
4765,746
2038,963
8616,802
10419,812
7901,566
7318,34
10455,771
3510,157
11075,510
5531,580
798,109
8706,848
1676,417
9303,169
3827,157
1569,491
7474,395
12029,583
9591,149
13725,34
7316,0
7985,788
8472,472
11111,635
2409,126
5890,303
9698,766
3535,342
6875,336
1981,505
2723,799
3831,566
2548,291
4625,93
7206,526
6658,148
12103,140
28,504
5900,988
1276,901
11526,811
6111,591
7660,705
2478,271
12783,524
10022,885
10833,995
10203,897
9142,110
3630,885
6166,0
1131,599
3727,957
11439,151
795,372
10363,130
10906,352
7271,653
25,185
14365,716
5994,909
13352,395
4507,766
3553,836
14060,667
13014,118
8227,803
8241,335
12771,811
307,538
6228,811
11970,291
8788,34
12122,566
12042,423
14336,254
7398,743
9234,551
4341,606
4236,32
3486,836
5901,319
9082,232
3187,34
4262,993
723,338
10419,35
219,164
5659,169
10914,55
9769,667
10020,463
3964,395
12458,813
1470,130
4498,630
12722,491
7925,118
4262,144
4939,319
10864,794
11693,491
13180,688
1669,454
537,0
360,43
3051,102
4010,876
10803,836
3426,120
7197,751
11480,243
12906,903
6668,599
6232,11
4840,49
6112,612
11687,743
8237,36
3999,93
3388,126
3536,120
6826,234
11445,945
7261,811
2878,152
669,53
12459,120
10677,811
7992,92
4464,292
3166,179
13444,894
11449,118
573,55
4879,963
7403,291
10291,381
9294,936
8031,580
10297,77
13226,319
1235,997
7753,975
11941,606
9613,683
12624,234
6340,145
8174,876
8431,991
7105,573
4135,796
3482,785
9544,218
5982,234
1682,98
9236,785
2890,943
12271,988
13302,858
11388,130
4008,884
737,319
395,743
13151,943
7657,159
12828,352
11557,395
4950,885
12236,151
13679,748
4165,826
12263,460
6089,640
6133,234
8797,178
11303,748
9064,804
4606,945
3999,195
14124,901
13041,482
13806,951
13442,382
4870,0
9302,835
3261,611
6340,606
8992,825
11566,635
2291,352
9499,61
9080,990
4947,726
8107,148
3743,90
3309,393
10672,792
7172,0
8869,702
4991,705
9336,81
13069,44
9971,667
14136,169
12614,95
12392,635
13956,796
7419,965
8189,169
2726,123
4024,42
4262,257
8320,275
10945,134
1517,29
7067,317
658,148
10851,152
8715,796
7561,922
1393,836
1994,291
12643,333
9620,303
995,303
12984,292
6175,934
1177,212
4262,307
6111,126
7168,547
5946,794
6396,64
850,8
7797,61
12466,693
1416,614
5929,60
6555,394
12161,667
5081,593
12979,852
7994,219
8136,491
9897,325
360,164
2361,745
3377,743
3127,311
12437,762
11050,995
6229,10
1081,920
64,291
57,743
13986,4
341,120
4527,723
5205,995
4694,234
9224,133
513,562
3640,476
2505,804
1842,988
14132,45
13058,677
8784,319
13622,55
3899,192
1064,664
2813,857
13658,183
1898,75
12683,982
2427,491
25,45
5281,502
4754,0
11471,526
6450,540
451,447
12576,319
5924,905
9120,82
6033,399
9452,769
13644,27
10086,736
12038,752
2010,146
10422,269
4262,164
9857,186
9346,811
685,675
8038,683
8925,702
1147,524
7896,22
11966,491
13742,804
774,200
12095,988
1213,857
8000,884
774,935
178,45
2031,766
10346,291
7801,764
2036,520
7250,34
7768,168
11286,925
1314,237
12966,705
2683,327
11639,823
7625,217
2703,303
11580,811
12944,612
7572,34
9353,403
12988,319
8314,445
3751,988
7985,409
2108,11
890,766
3227,152
2553,683
1445,929
9807,995
8961,152
4316,500
2569,53
8986,468
6340,779
4553,358
4939,968
12899,792
10452,234
7875,686
5504,721
2452,732
9940,234
7205,263
6835,303
6633,857
3999,192
220,191
6397,705
9451,963
588,291
13204,811
9343,811
344,62
3961,920
12057,919
5962,931
10877,743
9575,389
6932,382
10319,982
662,161
10253,48
1551,515
1296,670
8539,394
12696,234
6050,813
5133,169
13054,804
143,257
395,572
868,169
3196,807
2130,886
6132,57
9311,591
181,172
4197,352
14033,302
9791,836
12351,472
13316,28
11329,743
126,430
13078,444
4843,789
2326,965
11709,635
12440,606
13114,270
363,654
579,61
4749,268
3569,596
774,903
1421,967
7183,888
11952,431
11517,219
3872,49
10433,500
7163,395
271,49
2731,291
13274,779
11088,120
5310,352
3933,55
8428,813
11048,393
3717,291
3473,813
1653,825
3138,751
3677,465
3162,661
7463,561
14163,920
10674,254
11668,55
8597,55
13010,995
339,648
7010,574
7093,322
959,98
2478,461
9651,303
14186,982
774,194
4731,783
1602,183
3187,596
6768,49
3310,352
12107,794
7148,818
13403,126
4214,896
13445,192
4125,811
3181,218
10708,963
13119,811
8672,303
9860,404
7661,28
6094,55
5154,792
7202,751
11900,198
14302,982
7699,252
4721,743
13486,63
3250,699
10986,982
7877,540
12081,711
7273,526
13524,484
13637,334
8705,394
6857,118
1604,743
9604,572
146,34
10521,792
11671,572
6353,981
2806,319
3592,811
5395,118
13808,811
706,114
2008,218
6216,303
4427,642
2465,513
951,149
9634,126
5243,291
6823,503
10597,20
4990,534
1131,766
9446,204
825,575
4325,253
6083,291
10086,545
10073,369
4891,205
390,114
6632,503
3181,368
10579,477
1517,320
5953,49
9499,307
4262,351
3198,766
5566,513
2889,635
1557,827
9591,995
6350,126
3510,614
2633,995
13041,743
11739,993
4946,26
13274,744
1479,905
7693,18
11555,986
14247,126
9118,246
901,596
2672,352
9333,198
12692,811
1960,26
1493,829
5608,190
3481,733
12753,554
2816,370
1653,182
8874,476
14009,106
2002,931
7856,982
12651,307
7530,572
7333,11
13183,611
8598,118
13669,836
11807,126
10900,394
12032,424
12542,643
1462,814
10680,998
10256,395
562,170
11693,294
83,398
13455,796
3677,722
12581,472
10199,963
5523,291
2038,234
14168,31
2818,529
2816,108
5848,49
4360,792
7814,946
3301,126
4582,555
2592,920
9571,834
12765,963
9856,940
3319,959
1322,929
1534,51
3047,811
8043,218
8609,811
4931,231
13047,303
758,387
13659,55
928,989
8247,597
3860,461
4002,888
9207,109
10494,833
9646,126
6166,55
6047,291
10963,855
8235,395
13712,667
11068,319
7611,667
3235,264
13772,382
8961,372
2513,346
25,571
14028,319
5570,635
4326,49
370,118
3306,274
5191,291
7823,384
8583,8
4859,596
4389,861
13372,49
12842,682
1895,785
7845,319
12314,966
1599,968
10589,789
4669,481
9446,968
9560,34
5118,596
12220,55
9705,431
5533,77
758,208
994,397
2294,11
4991,61
12470,165
10139,963
12455,763
14327,55
14249,833
2478,599
11674,55
5666,268
3353,993
9178,67
5790,104
10676,692
2082,682
2868,352
2449,34
2478,640
9635,327
733,126
13258,239
7327,707
2974,129
1000,836
10171,152
1705,894
10368,319
12324,914
4025,184
6148,794
7320,995
1816,45
9939,521
14047,322
409,147
8404,133
12548,687
8978,929
7028,382
13025,198
11920,49
13316,439
10039,401
12607,286
9970,286
3560,55
128,847
10369,234
9727,397
8940,830
7588,120
9454,92
3723,110
2127,894
2030,884
5263,291
11480,963
4915,252
7838,126
6175,938
1831,341
4543,291
2674,234
4302,707
5293,243
840,491
1896,132
4420,476
14284,735
5586,169
1999,386
11004,811
10934,784
593,266
9663,152
467,445
12260,49
2351,317
9641,34
5582,55
5479,395
13088,234
1267,934
6395,633
6032,784
7948,811
8882,909
1873,635
4315,107
4755,423
12417,29
14366,632
9309,680
11603,382
6435,319
9167,871
721,248
8340,566
6605,946
333,792
11708,885
2784,195
8709,543
9604,995
2424,876
14219,120
4661,683
10022,566
8086,462
7513,751
12870,381
7324,237
10854,611
3951,857
7281,772
1945,351
10558,341
14039,661
3695,966
280,903
71,811
7699,708
1997,969
11568,596
327,100
9500,927
3495,766
4262,499
3355,34
94,369
11125,668
4931,712
14069,55
11299,591
2283,968
1465,303
8699,934
4025,730
3816,383
2195,982
6836,833
3491,824
7260,122
5017,157
11487,884
9230,311
2478,315
578,254
9090,957
14090,836
11638,564
2768,55
12991,507
12276,692
10008,857
8324,803
11751,766
10893,168
9549,234
2086,398
5922,148
768,291
3548,593
6546,341
11580,327
1418,503
4262,113
5622,382
8730,825
5597,813
13298,389
3793,129
333,234
2201,120
14229,743
7577,555
12053,579
4262,972
6464,430
10833,884
517,107
6824,676
12128,295
12513,991
14078,596
307,484
5457,468
228,93
10682,475
1741,129
584,596
9479,826
9333,596
9667,746
1580,55
14042,789
1037,702
12712,118
5670,759
10515,792
9888,232
4929,746
11359,394
13637,35
10484,964
11670,897
7597,656
8349,218
3166,885
6781,55
1733,121
5670,859
10763,491
9618,953
980,732
6913,180
7561,753
6166,98
1484,157
8350,683
13108,796
1064,380
5194,468
3947,106
3219,55
1708,751
9607,394
12166,394
14280,85
12142,583
9913,993
12755,790
962,528
1496,276
1521,2
13150,635
14119,506
6682,794
951,193
627,780
11534,491
8036,234
14346,548
9414,49
1063,251
4346,746
6922,169
4039,572
3626,792
13043,128
4446,683
1614,790
4510,772
8859,743
12542,127
13362,163
1866,186
8727,441
3925,291
10780,779
9021,452
2877,794
7313,372
3958,291
11190,748
13732,468
4120,157
4203,805
14365,126
12366,553
4982,886
3730,394
3664,688
11397,544
1116,743
4373,794
7534,542
5052,515
7492,690
8650,307
9532,468
9611,394
5942,870
3238,571
5464,243
579,876
9118,966
3951,935
6497,118
3687,611
6124,126
12240,982
3987,0
5785,152
9259,846
6362,369
12810,555
6014,92
824,34
1062,291
5289,836
5340,233
7296,836
1539,725
3951,34
3102,884
4329,291
14005,755
1831,826
12103,795
6209,681
12685,382
4847,631
14062,703
11236,885
7455,106
13051,161
774,755
9425,126
10130,682
11741,794
1980,743
10086,729
11442,779
12944,617
10013,260
9728,234
29,340
1340,575
1175,395
11417,968
10029,303
4196,382
5413,982
12405,291
7675,914
319,420
1180,242
9729,291
7010,716
14290,899
5457,291
1138,364
388,485
8984,61
1113,922
231,730
6626,723
1202,0
1693,26
7882,620
11317,93
6684,491
11077,804
1403,575
7561,843
2154,690
3406,93
11026,503
11577,195
9501,857
9274,999
2141,61
3750,28
3887,790
5920,801
7227,652
11275,785
1369,375
7957,39
9967,811
5811,929
2748,319
7848,876
2931,802
12607,537
3309,55
1035,124
10609,679
7194,492
5765,988
5488,963
14329,303
6289,234
13095,596
960,917
11012,382
9406,649
281,970
2742,461
10123,796
2368,573
3311,982
13823,291
3158,381
382,49
994,484
696,988
12914,234
9724,697
4311,841
7158,662
7571,55
13196,11
9009,216
13497,963
5714,380
4145,491
3705,932
12984,382
2642,562
13399,184
5729,237
4623,303
11983,423
587,567
299,667
9714,595
9290,85
6460,811
7200,716
7985,152
3406,873
3191,850
10064,811
13476,57
9519,877
11109,234
10739,503
1831,824
8825,27
5701,99
9997,796
9465,682
3943,303
3999,110
1843,207
9988,5
3536,382
10159,243
7351,993
12607,55
3702,885
10299,55
9791,81
2102,0
7011,596
13659,811
1751,67
10493,606
573,359
3000,885
7545,458
4097,642
3731,810
6112,120
9544,28
9181,572
11210,846
5239,743
6067,917
5253,47
11556,786
9080,434
12025,43
11903,728
12023,55
5160,129
4159,369
11366,811
2070,398
7902,491
7578,743
8730,797
12508,168
13040,767
4423,61
4698,942
13758,63
13206,824
7699,241
10839,510
38,49
824,398
11591,267
421,39
1992,618
10841,49
9099,126
11881,192
14187,239
10773,358
4460,48
4255,942
3043,449
2067,234
807,118
12935,685
2380,800
4892,978
6491,123
9224,697
12597,61
1379,312
886,675
11594,382
473,369
7296,554
7863,13
4944,995
6445,693
615,466
10623,26
1619,606
13834,804
1872,635
1939,85
9001,893
8350,319
13829,594
14328,264
9726,180
8151,982
12046,606
10658,766
12069,463
702,307
2174,379
6652,133
6619,836
3232,191
2057,868
9417,813
7991,786
10383,811
12963,234
5430,34
5144,445
9316,981
12633,92
10013,303
1862,202
12944,414
12914,766
11820,409
10086,954
10472,136
3084,503
947,696
2820,566
13535,982
4002,445
2500,813
7626,234
1108,126
4663,131
5245,423
6915,28
8221,796
94,49
7170,55
1411,554
10420,436
1986,846
4066,867
8225,943
12599,358
3344,43
750,193
8935,313
12200,11
3436,257
5431,346
3699,118
8904,152
5297,811
1773,902
3940,267
4420,211
10185,120
14360,95
8390,296
4262,325
7190,622
13236,202
13529,352
2726,562
9,790
2063,709
1359,770
5342,254
1855,341
2732,300
5729,466
395,573
2429,303
2736,77
12955,151
2430,982
3596,825
4128,963
13250,742
7902,123
1001,162
14119,394
8860,193
6014,796
527,234
12689,243
2812,303
4970,606
5953,234
5914,1
12066,995
6548,541
12677,503
11083,503
9622,503
14315,589
5597,382
12807,61
6950,403
11101,55
9986,995
4558,606
9562,801
713,245
2374,833
3461,683
249,374
3170,566
4343,303
9294,966
198,234
10788,336
10745,394
11983,152
12567,409
4318,168
7043,120
5514,884
1450,705
395,771
4463,811
4369,397
1389,202
9741,291
10026,394
8091,884
1532,995
5921,836
948,478
13285,394
5241,394
9220,394
4493,353
3276,884
1659,341
3463,170
1798,382
10853,34
13623,120
11818,392
2164,543
11845,382
1538,690
3363,169
2747,120
5096,503
2589,49
9819,902
3187,485
7356,445
758,697
11866,652
4020,484
5244,233
774,627
9649,183
8092,109
13114,251
911,191
13047,400
11103,857
8129,824
3570,323
2332,399
9470,372
1493,152
2897,657
2667,600
1254,307
3781,774
3676,197
11540,794
6899,827
14368,885
9140,583
807,695
9829,97
12262,49
3128,340
11107,618
10286,395
4685,325
822,276
7174,963
11162,503
2238,49
8141,57
2039,606
10267,995
13683,642
9378,614
8869,837
2815,145
1974,503
10174,988
6319,794
12541,988
10262,766
6506,995
43,61
7032,319
8535,562
9221,824
8610,944
10984,551
9027,794
3874,572
5333,905
5003,401
9662,491
9063,692
10003,540
12820,90
9152,34
6134,52
3577,264
10000,766
160,291
4551,562
4966,107
3328,491
241,610
2248,126
3132,874
10882,55
10633,686
2522,894
4917,352
10653,291
12195,811
12742,55
13793,126
541,234
8227,814
3123,534
11839,606
7261,234
9340,152
13439,141
9393,36
14356,264
10853,13
10958,826
13478,762
4265,455
5349,152
3427,234
9591,606
4420,963
12234,192
4390,178
12275,814
12843,234
10618,863
11985,49
3043,705
13041,147
8869,409
10800,273
303,879
9762,253
3002,34
8978,743
3682,503
14112,395
8304,120
3390,0
616,49
5611,857
416,500
10512,322
11477,348
7502,501
1594,833
1248,884
1547,120
5243,463
9221,254
4839,828
2321,303
5976,556
10646,667
156,124
8546,792
11476,482
4125,794
14277,771
7833,730
1252,67
2428,702
3338,234
11134,503
3015,109
2036,766
9397,847
2556,794
3257,397
1928,249
8205,206
313,49
12510,120
4299,964
11974,995
2037,358
12166,674
4214,736
4705,796
7408,183
7699,941
828,291
12763,540
8731,347
8794,29
12569,837
7882,49
13162,34
3369,269
2127,699
3398,596
4571,24
3109,193
10011,419
1434,472
11693,503
6397,120
9119,995
1853,130
10658,786
4508,336
3171,394
3987,394
10405,169
4431,608
7093,537
9052,995
4174,728
7419,705
2911,532
10263,436
3867,18
9517,693
4987,824
4050,110
2642,99
2261,746
4373,114
8169,209
4262,566
13205,462
11836,510
12000,26
2816,991
6966,833
6640,394
12333,982
2229,98
9221,683
2894,126
9196,872
6159,705
2478,715
14064,319
7894,169
9921,854
9856,63
5071,746
3658,152
4882,265
3801,34
4354,394
5651,85
218,707
10124,707
13200,347
2044,870
7114,748
5836,743
7416,934
9397,118
6795,811
10180,894
11782,271
11575,628
10545,291
10547,644
9796,11
8120,836
12321,662
14008,352
7256,746
11439,317
3802,929
13965,291
2070,120
7996,164
11853,232
8416,235
3262,500
13755,539
1285,573
7840,686
12110,743
2041,166
178,872
8035,291
10124,120
9100,606
8506,888
3867,774
6122,681
7921,264
737,533
12982,892
1843,679
9500,34
8427,222
6187,395
3249,732
5346,942
11972,126
14049,575
220,872
766,662
3113,887
3800,149
8164,315
2086,109
9849,705
2478,184
7902,884
11023,811
12838,985
12546,804
13679,693
4968,936
306,264
13110,675
10436,833
7340,894
3040,291
13248,49
1697,813
1617,95
13752,409
8346,982
2381,169
87,751
215,833
12490,808
3789,192
9388,34
3772,169
13058,720
12362,572
14186,169
8262,234
7108,796
10864,11
2910,503
2273,380
3695,395
11718,801
14087,566
8869,723
8402,319
12060,231
8082,716
248,968
8727,968
11175,11
3137,380
4489,982
6997,303
3197,858
2630,982
2187,623
3487,93
6862,120
11141,346
5243,232
13369,55
3272,169
2584,138
2966,55
447,596
9823,833
10191,653
3149,289
2100,126
4396,234
7037,291
1384,169
14293,968
12426,292
12692,115
10747,773
5457,894
1910,107
9955,234
4193,631
10344,794
13697,800
13661,0
4490,635
9080,399
6921,103
4548,169
12613,235
6784,626
4215,18
10347,382
14036,635
8489,394
8380,317
3884,581
8220,319
8142,55
11723,794
6880,705
9135,562
1594,476
11100,729
4557,229
10607,899
5505,49
6647,579
10758,491
3454,843
5052,833
961,654
1586,435
13903,169
8151,629
9120,769
6924,964
3249,482
2929,694
1829,286
2726,366
3630,120
4296,526
10091,574
5247,550
1943,0
11448,104
9907,55
11362,635
10896,243
3763,872
8845,635
13758,165
12733,205
10753,855
11030,163
9794,261
11968,234
14343,160
11703,243
13644,207
4542,887
4796,794
